gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000142227,0.258620689655172,0.689655172413793,0.0517241379310345,71.3,30,0.693782023891268,0.00226565167276316,0.00849662046758992,0.72287400323649
ENSG00000146112,0.163793103448276,0.689655172413793,0.146551724137931,62.4,9.8,0.858413872422237,0.00226565167276316,0.0282074460674997,0.94296283651413
ENSG00000204632,0.172413793103448,0.689655172413793,0.137931034482759,44.5,29.5,0.846540761539774,0.00226565167276316,0.172492800066913,0.731011312121534
ENSG00000158050,0.241379310344828,0.681034482758621,0.0775862068965517,78.9,33,0.728943672995161,0.00275391584538021,0.00258761584779832,0.671680353794914
ENSG00000095739,0.267241379310345,0.672413793103448,0.060344827586207,79.3,33.6,0.675477166877202,0.00333523142055203,0.00242033945679787,0.660998342448563
ENSG00000137575,0.206896551724138,0.672413793103448,0.120689655172414,43.6,16.3,0.792654223777144,0.00333523142055203,0.185148207552723,0.896522499733531
ENSG00000169429,0.258620689655172,0.672413793103448,0.0689655172413793,145.9,38.1,0.693782023891268,0.00333523142055203,7.66001706509201e-11,0.577274223770647
ENSG00000170542,0.301724137931035,0.672413793103448,0.0258620689655172,108,26.8,0.598336769298723,0.00333523142055203,6.43778468811806e-06,0.772779865669518
ENSG00000175505,0.198275862068966,0.672413793103448,0.129310344827586,71.1,32.8,0.807077308319095,0.00333523142055203,0.00874861940797711,0.675210597068308
ENSG00000175592,0.181034482758621,0.672413793103448,0.146551724137931,111.3,26.4,0.834026187490389,0.00333523142055203,2.81498485232845e-06,0.778641138132348
ENSG00000196611,0.155172413793103,0.672413793103448,0.172413793103448,124.3,21.5,0.869648556903982,0.00333523142055203,8.04857339664622e-08,0.843141969613599
ENSG00000013619,0.224137931034483,0.663793103448276,0.112068965517241,86,19.5,0.761966765413544,0.00402460291123574,0.000741288332839929,0.86549611166457
ENSG00000100600,0.310344827586207,0.663793103448276,0.0258620689655172,78.3,25.4,0.578294914228323,0.00402460291123574,0.00285816234279446,0.792909927036334
ENSG00000106089,0.137931034482759,0.663793103448276,0.198275862068965,72.6,21,0.890230216595563,0.00402460291123574,0.00700853473729701,0.848947317321601
ENSG00000112763,0.224137931034483,0.663793103448276,0.112068965517241,47.2,38.7,0.761966765413544,0.00402460291123574,0.137925724094275,0.565747041258693
