Identifier	COQ2	COQ4	COQ5	COQ6	COQ7	COQ8a	COQ8b	COQ9	PDSS1	PDSS2
COQ2	247	1	9	4	10	3	0	1	89	12
COQ4	1	39	2	1	1	1	6	2	1	0
COQ5	9	2	210	8	11	1	22	4	5	12
COQ6	4	1	8	184	5	6	17	7	6	2
COQ7	10	1	11	5	251	3	5	1	11	12
COQ8a	3	1	1	6	3	132	3	1	12	8
COQ8b	0	6	22	17	5	3	387	26	10	2
COQ9	1	2	4	7	1	1	26	86	2	0
PDSS1	89	1	5	6	11	12	10	2	483	7
PDSS2	12	0	12	2	12	8	2	0	7	148
