gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000173083,0.0344827586206897,0.96551724137931,0,33.2,1,0.993872244341176,2.86699723540673e-05,0.00446962676245144,0.969257476039375
ENSG00000008083,0.0689655172413793,0.931034482758621,0,29.7,2.8,0.98962610573474,7.01410263680424e-05,0.0132372040976929,0.956343220590434
ENSG00000168461,0.0689655172413793,0.931034482758621,0,30.2,3.6,0.98962610573474,7.01410263680424e-05,0.0114338893536253,0.949343411248632
ENSG00000109332,0.103448275862069,0.896551724137931,0,7.9,2.5,0.983013209460692,0.00016417423304671,0.595715581346032,0.95875788124554
ENSG00000124486,0.103448275862069,0.896551724137931,0,14.4,4.6,0.983013209460692,0.00016417423304671,0.311484463932758,0.939368400157944
ENSG00000137309,0.0344827586206897,0.896551724137931,0.0689655172413793,26.3,0.6,0.993872244341176,0.00016417423304671,0.0332317653031113,0.971649070214998
ENSG00000073792,0.137931034482759,0.862068965517241,0,21.2,4.3,0.97308657678209,0.000367720524158011,0.10393574113389,0.942510299904209
ENSG00000085117,0.137931034482759,0.862068965517241,0,36.9,2.6,0.97308657678209,0.000367720524158011,0.00121413962349581,0.957965319858635
ENSG00000112531,0.137931034482759,0.862068965517241,0,13.8,3.6,0.97308657678209,0.000367720524158011,0.335819174501514,0.949343411248632
ENSG00000121964,0.137931034482759,0.862068965517241,0,14.1,1.1,0.97308657678209,0.000367720524158011,0.323557494977324,0.968634154533497
ENSG00000134602,0.137931034482759,0.862068965517241,0,41.2,2.1,0.97308657678209,0.000367720524158011,0.00021768948158396,0.961807802463764
ENSG00000135823,0.103448275862069,0.862068965517241,0.0344827586206897,13.1,2.7,0.983013209460692,0.000367720524158011,0.365098671068723,0.957160474841349
ENSG00000139921,0.137931034482759,0.862068965517241,0,16.9,4.4,0.97308657678209,0.000367720524158011,0.219487930086135,0.941477550979028
ENSG00000160588,0.137931034482759,0.862068965517241,0,28.8,6,0.97308657678209,0.000367720524158011,0.0171061142154397,0.922900460541935
ENSG00000254087,0.137931034482759,0.862068965517241,0,39,2.6,0.97308657678209,0.000367720524158011,0.000539163344722926,0.957965319858635
ENSG00000079387,0.137931034482759,0.827586206896552,0.0344827586206896,9.8,1.5,0.97308657678209,0.000788341748587884,0.511066180482515,0.966035501414204
ENSG00000086189,0.172413793103448,0.827586206896552,0,13.3,5,0.958724244744142,0.000788341748587884,0.356643488357153,0.934972158248155
