gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000028116,0.204545454545455,0.795454545454545,0,29.8,1.9,0.897199598983755,0.00563640619057682,0.066641171233868,0.962329664160188
ENSG00000058272,0.0227272727272727,0.795454545454545,0.181818181818182,36.1,0.1,0.990165235501347,0.00563640619057682,0.0181179730448805,0.971999294916864
ENSG00000087470,0.0454545454545455,0.795454545454545,0.159090909090909,34.5,0.8,0.986069499880321,0.00563640619057682,0.0259676248990784,0.96851777979579
ENSG00000095139,0.181818181818182,0.795454545454545,0.0227272727272727,19.8,5.3,0.919109961517152,0.00563640619057682,0.287727999119667,0.936724228085494
ENSG00000100387,0.159090909090909,0.795454545454545,0.0454545454545455,18.6,4,0.937296069252897,0.00563640619057682,0.32740702111377,0.947773492827375
ENSG00000102024,0.113636363636364,0.795454545454545,0.0909090909090909,44.6,4,0.964004411229948,0.00563640619057682,0.00189983486933487,0.947773492827375
ENSG00000104695,0.0909090909090909,0.795454545454545,0.113636363636364,18.9,2.5,0.973352852993759,0.00563640619057682,0.317278749510705,0.958556175813516
ENSG00000104756,0.204545454545455,0.795454545454545,0,35.2,5,0.897199598983755,0.00563640619057682,0.0222390222822817,0.93942318810255
ENSG00000114978,0.204545454545455,0.795454545454545,0,19.4,3,0.897199598983755,0.00563640619057682,0.30070135312441,0.955182586997944
ENSG00000115808,0.204545454545455,0.795454545454545,0,27.6,4.9,0.897199598983755,0.00563640619057682,0.0977967206866498,0.940302549857458
ENSG00000119231,0,0.795454545454545,0.204545454545455,18.9,0,0.993167431608772,0.00563640619057682,0.317278749510705,0.972469436082477
ENSG00000120690,0.159090909090909,0.795454545454545,0.0454545454545455,24.7,5.3,0.937296069252897,0.00563640619057682,0.153568888451785,0.936724228085494
ENSG00000122299,0.136363636363636,0.795454545454545,0.0681818181818182,24.8,2.6,0.952125282311031,0.00563640619057682,0.151350436393816,0.957898446052294
ENSG00000122482,0.159090909090909,0.795454545454545,0.0454545454545455,36.8,5.9,0.937296069252897,0.00563640619057682,0.0153802475333871,0.931046398817622
ENSG00000124486,0.136363636363636,0.795454545454545,0.0681818181818182,17.9,3.4,0.952125282311031,0.00563640619057682,0.351528501887524,0.952327408700862
ENSG00000125875,0.181818181818182,0.795454545454545,0.0227272727272727,28.6,4.1,0.919109961517152,0.00563640619057682,0.0825177895717017,0.946981968357528
ENSG00000129128,0.0681818181818182,0.795454545454545,0.136363636363636,29,2.7,0.980580251376621,0.00563640619057682,0.0769365895438308,0.95723229350537
ENSG00000130779,0.0454545454545455,0.795454545454545,0.159090909090909,35.1,1.1,0.986069499880321,0.00563640619057682,0.0227423044266243,0.966919836482495
ENSG00000134900,0.204545454545455,0.795454545454545,0,30.1,5.8,0.897199598983755,0.00563640619057682,0.0630677170090553,0.932019057882709
ENSG00000141452,0.159090909090909,0.795454545454545,0.0454545454545455,22.8,2.7,0.937296069252897,0.00563640619057682,0.199779528871111,0.95723229350537
ENSG00000144840,0.0909090909090909,0.795454545454545,0.113636363636364,29,1.7,0.973352852993759,0.00563640619057682,0.0769365895438308,0.963523338238072
ENSG00000145012,0.0909090909090909,0.795454545454545,0.113636363636364,26.9,2.3,0.973352852993759,0.00563640619057682,0.109663245578205,0.959846651914813
ENSG00000145216,0.0454545454545455,0.795454545454545,0.159090909090909,30.7,0.6,0.986069499880321,0.00563640619057682,0.0563701611291316,0.969547208986478
ENSG00000150637,0.0909090909090909,0.795454545454545,0.113636363636364,56.3,5,0.973352852993759,0.00563640619057682,3.22663384559885e-05,0.93942318810255
ENSG00000162614,0.159090909090909,0.795454545454545,0.0454545454545455,59.7,3,0.937296069252897,0.00563640619057682,7.95788623153548e-06,0.955182586997944
ENSG00000168385,0.113636363636364,0.795454545454545,0.0909090909090909,15.9,1.4,0.964004411229948,0.00563640619057682,0.423500104869191,0.965255655597357
ENSG00000169764,0.0909090909090909,0.795454545454545,0.113636363636364,17.6,1.4,0.973352852993759,0.00563640619057682,0.362059351887816,0.965255655597357
