PDSS1	ABTB1
PDSS1	ACLY
PDSS1	ACYP2
PDSS1	AGO4
PDSS1	AHCYL2
PDSS1	AHNAK
PDSS1	AHSA1
PDSS1	AIFM1
PDSS1	AIMP2
PDSS1	AKAP9
PDSS1	ANKRA2
PDSS1	APOO
PDSS1	APPBP2
PDSS1	ARAP1
PDSS1	ASAH1
PDSS1	ATAD3A
PDSS1	ATG14
PDSS1	ATP5MC1
PDSS1	ATP6AP2
PDSS1	AUNIP
PDSS1	AURKA
PDSS1	AURKAIP1
PDSS1	AURKB
PDSS1	BBS2
PDSS1	BCAS3
PDSS1	BICRAL
PDSS1	BIRC5
PDSS1	BLM
PDSS1	BLMH
PDSS1	BOP1
PDSS1	BORA
PDSS1	BRCA2
PDSS1	BRIX1
PDSS1	BUB1
PDSS1	BUB1B
PDSS1	BUB3
PDSS1	BYSL
PDSS1	BZW2
PDSS1	C1orf112
PDSS1	C1QBP
PDSS1	C9orf40
PDSS1	CAD
PDSS1	CALCOCO1
PDSS1	CAMK1D
PDSS1	CARF
PDSS1	CBFA2T2
PDSS1	CBX7
PDSS1	CCDC86
PDSS1	CCDC92
PDSS1	CCNA2
PDSS1	CCNB1
PDSS1	CCNB2
PDSS1	CCNE1
PDSS1	CCNE2
PDSS1	CCNG2
PDSS1	CCT2
PDSS1	CCT3
PDSS1	CCT5
PDSS1	CCT7
PDSS1	CDC123
PDSS1	CDC20
PDSS1	CDC25A
PDSS1	CDC45
PDSS1	CDC6
PDSS1	CDC7
PDSS1	CDCA4
PDSS1	CDCA8
PDSS1	CDIPT
PDSS1	CDK1
PDSS1	CDK19
PDSS1	CDK2
PDSS1	CDKN1B
PDSS1	CDKN1C
PDSS1	CENPM
PDSS1	CENPN
PDSS1	CENPQ
PDSS1	CENPS
PDSS1	CEP76
PDSS1	CEP83
PDSS1	CHAC2
PDSS1	CHAF1A
PDSS1	CHAF1B
PDSS1	CHD2
PDSS1	CHEK1
PDSS1	CHRNA5
PDSS1	CIAPIN1
PDSS1	CKS2
PDSS1	CLPB
PDSS1	CNOT9
PDSS1	COA7
PDSS1	COPS3
PDSS1	COQ3
PDSS1	CPQ
PDSS1	CREBRF
PDSS1	CSAD
PDSS1	CSE1L
PDSS1	CSTF2
PDSS1	CTBS
