ENSG00000143369
ENSG00000010404
ENSG00000089327
ENSG00000131037
ENSG00000175602
ENSG00000109089
ENSG00000017797
ENSG00000085117
ENSG00000176095
ENSG00000183963
ENSG00000186716
ENSG00000198858
ENSG00000116337
ENSG00000130005
ENSG00000132688
ENSG00000173992
ENSG00000175826
ENSG00000102760
ENSG00000103202
ENSG00000105355
ENSG00000138080
ENSG00000139722
ENSG00000149499
ENSG00000160050
ENSG00000162511
ENSG00000177105
ENSG00000184205
ENSG00000188643
ENSG00000213654
ENSG00000069535
ENSG00000084731
ENSG00000105327
ENSG00000138030
ENSG00000140859
ENSG00000142694
ENSG00000143774
ENSG00000185122
ENSG00000185507
ENSG00000012779
ENSG00000047644
ENSG00000051128
ENSG00000054598
ENSG00000060558
ENSG00000090006
ENSG00000090238
ENSG00000101439
ENSG00000101470
ENSG00000101782
ENSG00000103266
ENSG00000113083
ENSG00000115138
ENSG00000147804
ENSG00000156515
ENSG00000159674
ENSG00000160703
ENSG00000161203
ENSG00000165886
ENSG00000175592
ENSG00000177697
ENSG00000179403
ENSG00000184792
ENSG00000074800
ENSG00000092929
ENSG00000101421
ENSG00000102265
ENSG00000108262
ENSG00000108576
ENSG00000110697
ENSG00000114353
ENSG00000116685
ENSG00000125534
ENSG00000126368
ENSG00000126767
ENSG00000139083
ENSG00000149782
ENSG00000179862
ENSG00000182534
ENSG00000185359
ENSG00000196507
ENSG00000224051
ENSG00000007047
ENSG00000007384
ENSG00000088826
ENSG00000088836
ENSG00000103507
ENSG00000105499
ENSG00000106976
ENSG00000106991
ENSG00000107957
ENSG00000110080
ENSG00000111348
ENSG00000115318
ENSG00000116985
ENSG00000126005
ENSG00000129925
ENSG00000130479
ENSG00000131188
ENSG00000132819
ENSG00000136167
ENSG00000140443
ENSG00000146112
ENSG00000159346
ENSG00000160789
ENSG00000165233
ENSG00000166165
ENSG00000172037
ENSG00000174004
ENSG00000184113
ENSG00000197122
ENSG00000203485
ENSG00000204632
ENSG00000213445
ENSG00000010810
ENSG00000017483
ENSG00000034152
ENSG00000037042
ENSG00000042753
ENSG00000070614
ENSG00000071859
ENSG00000078269
ENSG00000082781
ENSG00000087258
ENSG00000089820
ENSG00000090971
ENSG00000100439
ENSG00000102312
ENSG00000103316
ENSG00000105223
ENSG00000105699
ENSG00000113140
ENSG00000115756
ENSG00000116473
ENSG00000117385
ENSG00000124098
ENSG00000124831
ENSG00000126458
ENSG00000126460
ENSG00000126903
ENSG00000127526
ENSG00000128294
ENSG00000130202
ENSG00000131584
ENSG00000131748
ENSG00000133169
ENSG00000135924
ENSG00000138623
ENSG00000141959
ENSG00000142327
ENSG00000147010
ENSG00000152291
ENSG00000156381
ENSG00000160685
ENSG00000160796
ENSG00000165458
ENSG00000168610
ENSG00000169733
ENSG00000169908
ENSG00000171159
ENSG00000171222
ENSG00000175445
ENSG00000181191
ENSG00000261371
