gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000128590,0.183431952662722,0.769230769230769,0.0473372781065088,138,31,0.768724066849002,8.04999550153562e-05,2.92661097154312e-05,0.660365495567964
ENSG00000133639,0.177514792899408,0.715976331360947,0.106508875739645,142.8,24.9,0.778891534686227,0.000394766982552475,1.25101404511163e-05,0.727388975548356
ENSG00000164463,0.165680473372781,0.710059171597633,0.124260355029586,159.9,21,0.798440059859867,0.000466309116790464,4.49054336382204e-07,0.766495206096667
ENSG00000157514,0.230769230769231,0.698224852071006,0.0710059171597632,194.1,39.7,0.678755723104966,0.000646720155057623,1.40425338024386e-10,0.555817925535738
ENSG00000160058,0.177514792899408,0.692307692307692,0.130177514792899,66.1,8.4,0.778891534686227,0.00075932574989046,0.139347933073239,0.869251028138127
ENSG00000007944,0.189349112426036,0.686390532544379,0.124260355029586,139.8,23.9,0.758300964515007,0.000889750939452982,2.13706797176361e-05,0.737717513290156
ENSG00000204592,0.189349112426036,0.686390532544379,0.124260355029586,109.4,43.8,0.758300964515007,0.000889750939452982,0.00217893123386981,0.504658964052983
ENSG00000108799,0.189349112426036,0.680473372781065,0.130177514792899,73.2,19.7,0.758300964515007,0.00104049170795806,0.0848576720201204,0.778803712742267
ENSG00000146278,0.248520710059172,0.680473372781065,0.0710059171597633,149.8,30.4,0.641627068246329,0.00104049170795806,3.39129406767835e-06,0.667236265375465
ENSG00000184205,0.153846153846154,0.680473372781065,0.165680473372781,99.2,15.7,0.816914672009222,0.00104049170795806,0.00745417049428621,0.814263128179356
ENSG00000010818,0.207100591715976,0.674556213017752,0.118343195266272,111.8,30.4,0.72555916821195,0.00121433891361644,0.00159398336146999,0.667236265375465
ENSG00000112511,0.159763313609467,0.668639053254438,0.171597633136095,105.2,10.9,0.807813153025769,0.00141440452458363,0.00368600764285532,0.851846252001757
ENSG00000119801,0.201183431952663,0.668639053254438,0.130177514792899,125.6,21.1,0.736711669824866,0.00141440452458363,0.000222033302138214,0.765532916355603
ENSG00000121104,0.21301775147929,0.668639053254438,0.118343195266272,116.2,29.9,0.714178398671778,0.00141440452458363,0.000878080698642925,0.672919433466121
ENSG00000138834,0.183431952662722,0.668639053254438,0.14792899408284,91,15.9,0.768724066849002,0.00141440452458363,0.0178721681421067,0.812578534430244
ENSG00000163346,0.230769230769231,0.668639053254438,0.100591715976331,113.8,43.9,0.678755723104966,0.00141440452458363,0.00122010208503764,0.503406779022249
ENSG00000170776,0.207100591715976,0.668639053254438,0.124260355029586,91,30.5,0.72555916821195,0.00141440452458363,0.0178721681421067,0.666094952500781
