ENSG00000173083
ENSG00000008083
ENSG00000168461
ENSG00000109332
ENSG00000124486
ENSG00000137309
ENSG00000073792
ENSG00000085117
ENSG00000112531
ENSG00000121964
ENSG00000134602
ENSG00000135823
ENSG00000139921
ENSG00000160588
ENSG00000254087
ENSG00000079387
ENSG00000086189
ENSG00000101017
ENSG00000102230
ENSG00000123892
ENSG00000154978
ENSG00000160999
ENSG00000185787
ENSG00000185947
ENSG00000198858
ENSG00000011304
ENSG00000065060
ENSG00000065911
ENSG00000100077
ENSG00000101109
ENSG00000104131
ENSG00000105639
ENSG00000105993
ENSG00000109854
ENSG00000111802
ENSG00000115091
ENSG00000115415
ENSG00000120992
ENSG00000124532
ENSG00000125821
ENSG00000126391
ENSG00000131653
ENSG00000134070
ENSG00000138376
ENSG00000138443
ENSG00000142949
ENSG00000151247
ENSG00000158985
ENSG00000159374
ENSG00000168310
ENSG00000169860
ENSG00000175063
ENSG00000179715
ENSG00000180953
ENSG00000188313
ENSG00000198113
ENSG00000204899
ENSG00000253250
ENSG00000000460
ENSG00000017260
ENSG00000055208
ENSG00000060138
ENSG00000064763
ENSG00000070756
ENSG00000072110
ENSG00000078596
ENSG00000083312
ENSG00000091490
ENSG00000100678
ENSG00000102024
ENSG00000102572
ENSG00000103194
ENSG00000111328
ENSG00000111817
ENSG00000115159
ENSG00000115808
ENSG00000116473
ENSG00000117592
ENSG00000122483
ENSG00000124275
ENSG00000125818
ENSG00000125898
ENSG00000132388
ENSG00000132963
ENSG00000133193
ENSG00000138182
ENSG00000153046
ENSG00000163736
ENSG00000169756
ENSG00000170312
ENSG00000174574
ENSG00000183726
ENSG00000187109
ENSG00000188428
ENSG00000206503
ENSG00000213889
ENSG00000214114
ENSG00000023734
ENSG00000044459
ENSG00000060558
ENSG00000064666
ENSG00000066697
ENSG00000068796
ENSG00000073111
ENSG00000077721
ENSG00000087095
ENSG00000090372
ENSG00000091317
ENSG00000099942
ENSG00000101608
ENSG00000101888
ENSG00000104897
ENSG00000108839
ENSG00000110218
ENSG00000111196
ENSG00000116679
ENSG00000116711
ENSG00000119414
ENSG00000119844
ENSG00000121579
ENSG00000123609
ENSG00000128294
ENSG00000129128
ENSG00000130066
ENSG00000131389
ENSG00000134825
ENSG00000135821
ENSG00000144566
ENSG00000145354
ENSG00000151466
ENSG00000151725
ENSG00000155096
ENSG00000156587
ENSG00000159450
ENSG00000160190
ENSG00000161921
ENSG00000165025
ENSG00000166845
ENSG00000167005
ENSG00000168556
ENSG00000168958
ENSG00000171735
ENSG00000176407
ENSG00000185651
ENSG00000196821
ENSG00000213281
